name,problem,param,runner,retcode,total_time,sat,ce,start_time
L1_2012_Saadatpour_et_al,synthesis,maxclause0,cegar0,124,597.12s,TO,6596,0.00s
L1_2012_Saadatpour_et_al,synthesis,maxclause0,cegar1,124,563.79s,TO,36,0.00s
L1_2012_Saadatpour_et_al,synthesis,maxclause0,cegar2,0,1.82s,SAT,3,0.00s
L1_2012_Saadatpour_et_al,synthesis,maxclause0,cegar3,0,2.43s,SAT,4,0.00s
L1_2012_Saadatpour_et_al,synthesis,maxclause0,cegar4,0,0.61s,SAT,0,0.00s
L2_2012_Singh_et_al,synthesis,maxclause0,cegar0,124,599.48s,TO,24686,0.00s
L2_2012_Singh_et_al,synthesis,maxclause0,cegar1,0,0.13s,UNSAT,2,0.00s
L2_2012_Singh_et_al,synthesis,maxclause0,cegar2,0,0.12s,UNSAT,2,0.00s
L2_2012_Singh_et_al,synthesis,maxclause0,cegar3,0,0.07s,UNSAT,1,0.00s
L2_2012_Singh_et_al,synthesis,maxclause0,cegar4,0,0.07s,UNSAT,1,0.00s
L3_2013_Grieco_et_al,synthesis,maxclause0,cegar0,0,0.18s,SAT,0,0.00s
L3_2013_Grieco_et_al,synthesis,maxclause0,cegar1,0,0.22s,SAT,0,0.00s
L3_2013_Grieco_et_al,synthesis,maxclause0,cegar2,0,0.20s,SAT,0,0.00s
L3_2013_Grieco_et_al,synthesis,maxclause0,cegar3,0,0.19s,SAT,0,0.00s
L3_2013_Grieco_et_al,synthesis,maxclause0,cegar4,0,0.21s,SAT,1,0.00s
L4_2015_Flobak_et_al,synthesis,maxclause0,cegar0,0,1.15s,SAT,0,0.00s
L4_2015_Flobak_et_al,synthesis,maxclause0,cegar1,0,1.29s,SAT,0,0.00s
L4_2015_Flobak_et_al,synthesis,maxclause0,cegar2,0,1.21s,SAT,0,0.00s
L4_2015_Flobak_et_al,synthesis,maxclause0,cegar3,0,1.18s,SAT,0,0.00s
L4_2015_Flobak_et_al,synthesis,maxclause0,cegar4,0,0.95s,SAT,1,0.00s
M1_2010_Calzone_et_al,synthesis,maxclause0,cegar0,124,599.48s,TO,44585,0.00s
M1_2010_Calzone_et_al,synthesis,maxclause0,cegar1,0,0.16s,SAT,4,0.00s
M1_2010_Calzone_et_al,synthesis,maxclause0,cegar2,0,1.26s,SAT,17,0.00s
M1_2010_Calzone_et_al,synthesis,maxclause0,cegar3,0,0.24s,SAT,6,0.00s
M1_2010_Calzone_et_al,synthesis,maxclause0,cegar4,0,0.05s,SAT,1,0.00s
M2_2015_Cohen_et_al,synthesis,maxclause0,cegar0,124,597.39s,TO,4451,0.00s
M2_2015_Cohen_et_al,synthesis,maxclause0,cegar1,124,379.52s,TO,5,0.00s
M2_2015_Cohen_et_al,synthesis,maxclause0,cegar2,124,548.67s,TO,4,0.00s
M2_2015_Cohen_et_al,synthesis,maxclause0,cegar3,0,97.80s,SAT,1,0.00s
M2_2015_Cohen_et_al,synthesis,maxclause0,cegar4,124,196.75s,TO,4,0.00s
M3_2015_Remy_et_al,synthesis,maxclause0,cegar0,124,599.41s,TO,9987,0.00s
M3_2015_Remy_et_al,synthesis,maxclause0,cegar1,0,249.33s,SAT,5,0.00s
M3_2015_Remy_et_al,synthesis,maxclause0,cegar2,124,399.31s,TO,9,0.00s
M3_2015_Remy_et_al,synthesis,maxclause0,cegar3,0,84.20s,SAT,3,0.00s
M3_2015_Remy_et_al,synthesis,maxclause0,cegar4,0,71.00s,SAT,1,0.00s
S1_2009_Sahin_et_al,synthesis,maxclause0,cegar0,0,0.12s,SAT,0,0.00s
S1_2009_Sahin_et_al,synthesis,maxclause0,cegar1,0,0.14s,SAT,0,0.00s
S1_2009_Sahin_et_al,synthesis,maxclause0,cegar2,0,0.14s,SAT,0,0.00s
S1_2009_Sahin_et_al,synthesis,maxclause0,cegar3,0,0.12s,SAT,0,0.00s
S1_2009_Sahin_et_al,synthesis,maxclause0,cegar4,0,0.15s,SAT,1,0.00s
S2_2012_Wynn_et_al,synthesis,maxclause0,cegar0,124,599.07s,TO,59584,0.00s
S2_2012_Wynn_et_al,synthesis,maxclause0,cegar1,0,0.97s,UNSAT,20,0.00s
S2_2012_Wynn_et_al,synthesis,maxclause0,cegar2,0,0.53s,UNSAT,15,0.00s
S2_2012_Wynn_et_al,synthesis,maxclause0,cegar3,0,0.06s,UNSAT,3,0.00s
S2_2012_Wynn_et_al,synthesis,maxclause0,cegar4,0,0.04s,UNSAT,2,0.00s
S3_2018_Kasemeier-Kulesa_et_al,synthesis,maxclause0,cegar0,124,599.26s,TO,53300,0.00s
S3_2018_Kasemeier-Kulesa_et_al,synthesis,maxclause0,cegar1,0,12.41s,UNSAT,49,0.00s
S3_2018_Kasemeier-Kulesa_et_al,synthesis,maxclause0,cegar2,0,4.89s,UNSAT,35,0.00s
S3_2018_Kasemeier-Kulesa_et_al,synthesis,maxclause0,cegar3,0,0.08s,UNSAT,3,0.00s
S3_2018_Kasemeier-Kulesa_et_al,synthesis,maxclause0,cegar4,0,0.10s,UNSAT,4,0.00s
S4_2019_Biane_and_Delaplace,synthesis,maxclause0,cegar0,124,599.51s,TO,63914,0.00s
S4_2019_Biane_and_Delaplace,synthesis,maxclause0,cegar1,0,0.04s,SAT,1,0.00s
S4_2019_Biane_and_Delaplace,synthesis,maxclause0,cegar2,0,0.04s,SAT,1,0.00s
S4_2019_Biane_and_Delaplace,synthesis,maxclause0,cegar3,0,0.03s,SAT,1,0.00s
S4_2019_Biane_and_Delaplace,synthesis,maxclause0,cegar4,0,0.03s,SAT,1,0.00s
